LAD19CD,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,"Flooding incidents per 10,000 people",Flood incidents quintile,Total dwelling fires (three-year average),"Dwelling fire incidents per 10,000 people",Fire incidents quintile
E09000017,Hillingdon,2333,0.00765359682964596,1,18,0.5905046846704984,2,240.66666666666666,7.89526633948333,3
E09000018,Hounslow,28348,0.10468938112577646,5,10,0.36930076592978855,1,222,8.198477003641306,4
E09000019,Islington,NA,NA,NA,52,2.1744402907059404,5,230.66666666666666,9.645594110054557,5
E09000020,Kensington and Chelsea,4911,0.031441064809183274,4,59,3.777281253801289,5,182,11.651952342234486,5
E09000021,Kingston upon Thames,6428,0.03663304268535932,4,13,0.7408673847381319,3,128.5,7.323189149142303,2
E09000022,Lambeth,43119,0.1323005550492917,5,47,1.4420849480082352,4,329,10.094594636057648,5
E09000023,Lewisham,34948,0.11513626060829688,5,40,1.3178008539349533,4,300.6666666666667,9.905469752077734,5
E09000024,Merton,1840,0.008923981259639354,1,19,0.9214980648540638,3,165.16666666666666,8.01056651114366,3
E09000025,Newham,98852,0.280825556455164,5,18,0.5113563727787958,2,279.6666666666667,7.944962902989068,3
E09000026,Redbridge,4535,0.014924734579968275,2,18,0.5923819678928973,2,225.33333333333334,7.415744635103678,2
E09000027,Richmond upon Thames,28084,0.14262787957583392,5,26,1.3204404176654614,4,142.66666666666666,7.245493573856634,2
E09000028,Southwark,178219,0.5617513931966613,5,70,2.206420051945432,5,336.8333333333333,10.617083154718376,5
E09000029,Sutton,1808,0.008839995110622173,1,10,0.4889377826671556,2,149.66666666666666,7.317768813918428,2
E09000030,Tower Hamlets,83506,0.2628413150564203,5,36,1.1331266426401851,4,268.8333333333333,8.46172812304916,4
E09000031,Waltham Forest,3925,0.014185037947235272,2,28,1.0119262739428985,3,211.66666666666666,7.649680761354054,3
E09000032,Wandsworth,64048,0.1961810128831086,5,25,0.7657577632522038,3,285,8.729638501075124,4
E09000033,Westminster,49135,0.19244176027322146,5,121,4.739076624210807,5,241.5,9.458570287164545,5
N09000001,Antrim and Newtownabbey,61578,0.4291000313577924,5,NA,NA,NA,NA,NA,NA
N09000002,"Armagh City, Banbridge and Craigavon",60691,0.2712834908232686,5,NA,NA,NA,NA,NA,NA
N09000003,Belfast,325079,0.9207419660003059,5,NA,NA,NA,NA,NA,NA
N09000004,Causeway Coast and Glens,11643,0.08037859332283986,5,NA,NA,NA,NA,NA,NA
N09000005,Derry City and Strabane,78355,0.5179228882851798,5,NA,NA,NA,NA,NA,NA
N09000006,Fermanagh and Omagh,11861,0.101032385560231,5,NA,NA,NA,NA,NA,NA
N09000007,Lisburn and Castlereagh,34170,0.22741339722471798,5,NA,NA,NA,NA,NA,NA
N09000008,Mid and East Antrim,66933,0.48059538597410806,5,NA,NA,NA,NA,NA,NA
N09000009,Mid Ulster,NA,NA,NA,NA,NA,NA,NA,NA,NA
N09000010,"Newry, Mourne and Down",40152,0.220752445199492,5,NA,NA,NA,NA,NA,NA
N09000011,Ards and North Down,74049,0.45700514099153866,5,NA,NA,NA,NA,NA,NA
S12000010,East Lothian,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000005,Clackmannanshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000011,East Renfrewshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000006,Dumfries and Galloway,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000013,Na h-Eileanan Siar,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000014,Falkirk,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000017,Highland,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000018,Inverclyde,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000019,Midlothian,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000020,Moray,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000021,North Ayrshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000023,Orkney Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000026,Scottish Borders,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000027,Shetland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000028,South Ayrshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000029,South Lanarkshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000030,Stirling,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000033,Aberdeen City,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000034,Aberdeenshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000035,Argyll and Bute,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000036,City of Edinburgh,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000038,Renfrewshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000039,West Dunbartonshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000040,West Lothian,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000041,Angus,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000042,Dundee City,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000045,East Dunbartonshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000047,Fife,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000048,Perth and Kinross,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000049,Glasgow City,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12000050,North Lanarkshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
W06000001,Isle of Anglesey,947,0.013536112977230171,2,NA,NA,NA,NA,NA,NA
W06000002,Gwynedd,9322,0.07506965807147804,4,NA,NA,NA,NA,NA,NA
W06000003,Conwy,24180,0.2063474454049718,5,NA,NA,NA,NA,NA,NA
W06000004,Denbighshire,22168,0.23253959928668835,5,NA,NA,NA,NA,NA,NA
W06000005,Flintshire,12261,0.07880174557981401,5,NA,NA,NA,NA,NA,NA
W06000006,Wrexham,1512,0.011107356419787549,2,NA,NA,NA,NA,NA,NA
W06000008,Ceredigion,3955,0.0541840201665936,4,NA,NA,NA,NA,NA,NA
W06000009,Pembrokeshire,1201,0.009603774339290713,2,NA,NA,NA,NA,NA,NA
W06000010,Carmarthenshire,9682,0.05161861298302482,4,NA,NA,NA,NA,NA,NA
W06000011,Swansea,3826,0.01552343933848888,2,NA,NA,NA,NA,NA,NA
W06000012,Neath Port Talbot,10143,0.07097672595972178,4,NA,NA,NA,NA,NA,NA
W06000013,Bridgend,1564,0.010795438858057926,2,NA,NA,NA,NA,NA,NA
W06000014,Vale of Glamorgan,1335,0.010101010101010102,2,NA,NA,NA,NA,NA,NA
W06000015,Cardiff,44540,0.12227932617337638,5,NA,NA,NA,NA,NA,NA
W06000016,Rhondda Cynon Taf,7334,0.030541662675789463,4,NA,NA,NA,NA,NA,NA
W06000018,Caerphilly,6109,0.03374783862467476,4,NA,NA,NA,NA,NA,NA
W06000019,Blaenau Gwent,3068,0.04400900836285915,4,NA,NA,NA,NA,NA,NA
W06000020,Torfaen,2851,0.030639770443529755,4,NA,NA,NA,NA,NA,NA
W06000021,Monmouthshire,4608,0.04894733487710055,4,NA,NA,NA,NA,NA,NA
W06000022,Newport,35039,0.22856192352350263,5,NA,NA,NA,NA,NA,NA
W06000023,Powys,10215,0.07712518969852092,5,NA,NA,NA,NA,NA,NA
W06000024,Merthyr Tydfil,479,0.007959058205805626,1,NA,NA,NA,NA,NA,NA
E07000084,Basingstoke and Deane,1918,0.01091453317323834,2,17,0.9673986649898423,3,111.16666666666667,6.326028524982596,1
E07000085,East Hampshire,1007,0.00834431269213878,1,NA,NA,NA,65,5.386100546067732,1
E07000086,Eastleigh,5584,0.04236111637927765,4,NA,NA,NA,81,6.144789446134473,1
E07000087,Fareham,2418,0.020784087881106077,3,5,0.4297784921651381,1,73.33333333333333,6.303417885088692,1
E07000088,Gosport,1358,0.01592345485032187,2,NA,NA,NA,64.5,7.563054770587339,3
E07000089,Hart,4593,0.047698171206629766,4,NA,NA,NA,45.666666666666664,4.742470030704896,1
E07000090,Havant,4959,0.0394156406730624,4,6,0.4768982537575608,2,106.66666666666667,8.478191177912192,4
E07000091,New Forest,8014,0.044583400555206314,4,5,0.27815947438985716,1,128.16666666666666,7.1301545268600055,2
E07000092,Rushmoor,365,0.0038363708982363204,1,NA,NA,NA,69.66666666666667,7.322388289784392,2
E07000093,Test Valley,2153,0.017200744593309846,3,6,0.479351916209285,2,87,6.950602785034633,2
E07000094,Winchester,2956,0.023782131220081257,3,NA,NA,NA,88.33333333333333,7.106748729501052,2
E07000095,Broxbourne,1476,0.015235971757710888,2,NA,NA,NA,79.83333333333333,8.240775148987709,4
E07000096,Dacorum,1506,0.009761472647135078,2,NA,NA,NA,100.66666666666667,6.5249330222107,1
E07000098,Hertsmere,3015,0.028933352526270332,3,6,0.575788109975529,2,88.83333333333333,8.524862850471026,4
E07000099,North Hertfordshire,634,0.004759259537285871,1,NA,NA,NA,96.83333333333333,7.269005760155339,2
E07000102,Three Rivers,510,0.005481218765113655,1,NA,NA,NA,69.5,7.469504003439196,3
E07000103,Watford,NA,NA,NA,NA,NA,NA,72.16666666666667,7.457776583614938,3
E07000105,Ashford,2089,0.016158600258351963,2,8,0.6188070946233398,2,79.16666666666667,6.123611873876801,1
E07000106,Canterbury,7711,0.046860282097561275,4,20,1.215413878811082,4,85.5,5.195894331917375,1
E07000107,Dartford,2641,0.024072774339388748,3,NA,NA,NA,62.5,5.696889042831491,1
E07000108,Dover,4664,0.03987381271960947,4,NA,NA,NA,69.16666666666667,5.913247669610467,1
E07000109,Gravesham,3713,0.03490153687079946,4,6,0.5639892842036002,2,62,5.827889270103868,1
E07000110,Maidstone,3566,0.02098202465358477,3,29,1.7063340295960696,4,93.16666666666667,5.48184323301266,1
E07000111,Sevenoaks,2106,0.017507253123623154,3,5,0.41565178356180327,1,73.16666666666667,6.082371099454388,1
E07000112,Folkestone and Hythe,18245,0.162065412425163,5,20,1.7765460391906056,4,63,5.596120023450408,1
E07000113,Swale,25393,0.17097475743844223,5,10,0.6733145254142567,2,84.16666666666667,5.667063922236661,1
E07000114,Thanet,NA,NA,NA,19,1.3397358604982408,4,121,8.53200205896248,4
E07000115,Tonbridge and Malling,7863,0.06024918012688877,4,35,2.68182793391976,5,60.333333333333336,4.6229605337093,1
E07000116,Tunbridge Wells,1898,0.016077388313822487,2,23,1.9482609653209548,5,73.66666666666667,6.240082222259869,1
E07000117,Burnley,1592,0.017983214160651552,3,9,1.0166389914941205,3,99.33333333333333,11.220682202416588,5
E07000118,Chorley,2886,0.024704462382619564,3,11,0.94161152532507,3,88.16666666666667,7.547159043893364,3
E07000119,Fylde,3696,0.046333207972922154,4,NA,NA,NA,66.5,8.336467343612888,4
E07000120,Hyndburn,1381,0.017088411804739218,3,5,0.6186970240673143,2,89,11.012807028398194,5
E07000121,Lancaster,3856,0.02673211042247272,3,48,3.3276486003078074,5,143,9.913619788417009,5
E07000122,Pendle,2278,0.024922050216071332,3,10,1.0940320551392155,3,85,9.299272468683332,5
E07000123,Preston,3158,0.022267977266637522,3,18,1.2692323964517902,4,149.66666666666666,10.553432333460258,5
E07000124,Ribble Valley,1461,0.024326889455017733,3,20,3.3301696721447955,5,50.333333333333336,8.380927008231069,4
E07000125,Rossendale,2005,0.02828126101981804,3,10,1.4105367092178573,4,59.333333333333336,8.369184474692622,4
E07000126,South Ribble,3771,0.03411836021967483,4,8,0.7238050431116378,3,84.16666666666667,7.6150322244036905,3
E07000127,West Lancashire,5106,0.04480952004844273,4,7,0.6143099105740287,2,91.5,8.02990811678909,3
E07000128,Wyre,37481,0.33698965142101905,5,NA,NA,NA,100.5,9.03590084784622,4
E07000129,Blaby,626,0.006233755887712729,1,4,0.3983230599177463,1,57.5,5.725893986317603,1
E07000130,Charnwood,7045,0.03857251578215426,4,15,0.8212742891871028,3,108.66666666666667,5.949675961666567,1
E07000131,Harborough,948,0.010248759446048066,2,NA,NA,NA,49.833333333333336,5.387445630042848,1
E07000132,Hinckley and Bosworth,NA,NA,NA,NA,NA,NA,60.166666666666664,5.351811165568137,1
E07000133,Melton,1110,0.02172211350293542,3,NA,NA,NA,33.166666666666664,6.4905414220482704,1
E07000134,North West Leicestershire,1865,0.018261755086853494,3,7,0.6854278048684959,3,45,4.406321602726044,1
E07000135,Oadby and Wigston,453,0.007939568143578239,1,NA,NA,NA,32.5,5.696158160403814,1
E07000136,Boston,66489,0.9585243491047487,5,49,7.06397947121068,5,47.166666666666664,6.799680919566742,2
E07000137,East Lindsey,54321,0.38596428901315183,5,NA,NA,NA,119.5,8.490773832785045,4
E07000138,Lincoln,6227,0.06287422126636981,4,NA,NA,NA,101.33333333333333,10.23165958191554,5
E07000139,North Kesteven,3224,0.027796697848859766,3,18,1.551924817864379,4,73.66666666666667,6.351396013852366,1
E07000140,South Holland,73749,0.7847307937859119,5,NA,NA,NA,69.66666666666667,7.412924735759382,2
E07000141,South Kesteven,1384,0.009756578993747048,2,NA,NA,NA,103.5,7.296285591422106,2
E07000142,West Lindsey,11954,0.12600533367064057,5,5,0.5270425534157628,2,73.5,7.747525535211713,3
